1,"G","BUFFON                        ",0,100,95,72,50,35,94,80
2,"D","CHIELLINI                      ",1,67,95,63,50,65,20,80
3,"D","BONNUCI                        ",0,70,95,64,50,70,20,80
4,"D","PJANIC                         ",2,75,90,73,50,65,20,80
5,"D","ALEX SANDRO                    ",0,60,95,73,50,65,20,90
6,"M","MANDZUKIC                      ",0,70,65,71,50,35,20,80
7,"M","CUADRADO                       ",1,72,95,86,50,35,20,96
8,"M","POGBA                           ",2,94,92,84,72,48,30,82
9,"A","DYBALA                          ",0,93,75,88,50,58,20,98
10,"A","DAVIDS                         ",0,60,95,88,50,35,20,68
11,"A","MORATA                         ",0,90,95,80,50,35,20,57
12,"G","STURERO                         ",0,50,95,50,50,35,20,80
13,"D","BUNACCI                         ",0,62,95,50,50,35,20,80
14,"M","ESEMUAH                         ",2,80,99,70,70,30,20,80
15,"M","VODEL                           ",0,75,65,50,50,35,20,75
16,"A","GOVINCU                         ",1,61,55,59,32,40,20,93
